10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,20
19,20
18,20
17,20
16,20
15,20
14,20
13,20
12,20
11,20
10,20
10,19
10,18
10,17
10,16
10,15
10,14
10,13
10,12
10,11
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
40,11
40,12
40,13
40,14
40,15
40,16
40,17
40,18
40,19
40,20
39,20
38,20
37,20
36,20
35,20
34,20
33,20
32,20
31,20
30,20
30,19
30,18
30,17
30,16
30,15
30,14
30,13
30,12
30,11
10,30
11,30
12,30
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,30
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,39
20,40
19,40
18,40
17,40
16,40
15,40
14,40
13,40
12,40
11,40
10,40
10,39
10,38
10,37
10,36
10,35
10,34
10,33
10,32
10,31
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
40,31
40,32
40,33
40,34
40,35
40,36
40,37
40,38
40,39
40,40
39,40
38,40
37,40
36,40
35,40
34,40
33,40
32,40
31,40
30,40
30,39
30,38
30,37
30,36
30,35
30,34
30,33
30,32
30,31
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
40,51
40,52
40,53
40,54
40,55
40,56
40,57
40,58
40,59
40,60
39,60
38,60
37,60
36,60
35,60
34,60
33,60
32,60
31,60
30,60
29,60
28,60
27,60
26,60
25,60
24,60
23,60
22,60
21,60
20,60
19,60
18,60
17,60
16,60
15,60
14,60
13,60
12,60
11,60
10,60
10,59
10,58
10,57
10,56
10,55
10,54
10,53
10,52
10,51
